0: System.Func`4::Invoke(!0,!1,!2)
1: System.Runtime.Remoting.Messaging.MessageDictionary::SetSpecialKey(System.Int32,System.Object)
2: System.Collections.Hashtable::KeyEquals(System.Object,System.Object)
3: System.Collections.IDictionary::set_Item(System.Object,System.Object)
4: Newtonsoft.Json.Serialization.SerializationCallback::Invoke(System.Object,System.Runtime.Serialization.StreamingContext)
5: Newtonsoft.Json.Serialization.IValueProvider::SetValue(System.Object,System.Object)
6: System.Action`2::Invoke(!0,!1)
7: Newtonsoft.Json.Serialization.IValueProvider::SetValue(System.Object,System.Object)
8: Newtonsoft.Json.Serialization.IValueProvider::GetValue(System.Object)
9: Newtonsoft.Json.Serialization.IValueProvider::GetValue(System.Object)
10: System.Predicate`1::Invoke(!0)
11: Newtonsoft.Json.Serialization.ExtensionDataSetter::Invoke(System.Object,System.String,System.Object)
12: System.Object::ToString()
13: System.ICustomFormatter::Format(System.String,System.Object,System.IFormatProvider)
14: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
15: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
16: System.Object::Equals(System.Object)
17: System.Object::GetType()
18: Newtonsoft.Json.Serialization.SerializationCallback::Invoke(System.Object,System.Runtime.Serialization.StreamingContext)
19: System.Object::GetType()
20: System.Object::GetType()
21: System.Array::InternalGetReference(System.Void*,System.Int32,System.Int32*)
22: System.Array::get_Rank()
23: System.Array::TrySZReverse(System.Array,System.Int32,System.Int32)
24: System.Array::get_Rank()
25: System.Array::get_Length()
26: System.Array::GetLowerBound(System.Int32)
27: System.Array::get_Length()
28: System.Array::GetLowerBound(System.Int32)
29: System.Array::get_Rank()
30: System.Array::get_Length()
31: System.Array::get_Rank()
32: System.Array::get_Length()
33: System.Array::GetLowerBound(System.Int32)
34: System.Array::get_Rank()
35: System.Array::get_Length()
36: System.Array::GetLowerBound(System.Int32)
37: System.Array::get_Rank()
38: System.Array::get_Length()
39: System.Array::GetLowerBound(System.Int32)
40: System.Array::get_Rank()
41: System.Object::GetType()
42: System.Array::get_Length()
43: System.Array::GetLowerBound(System.Int32)
44: System.Array::get_Rank()
45: System.Object::GetType()
46: System.Array::get_Length()
47: System.Array::GetLowerBound(System.Int32)
48: System.Array::get_Rank()
49: System.Array::get_Length()
50: System.Array::get_Rank()
51: System.Array::get_Length()
52: System.Array::get_Rank()
53: System.Array::get_Rank()
54: System.Array::get_Length()
55: System.Array::get_Rank()
56: System.Array::get_Length()
57: System.Array::get_Length()
58: System.Array::get_Rank()
59: System.Array::InternalGetReference(System.Void*,System.Int32,System.Int32*)
60: System.Array::get_Rank()
61: System.Array::get_Rank()
62: Newtonsoft.Json.Linq.JContainer::get_ChildrenTokens()
63: Newtonsoft.Json.Linq.JContainer::get_ChildrenTokens()
64: System.Runtime.Remoting.Messaging.MessageDictionary::GetMessageValue(System.Int32)
65: System.Collections.Hashtable::get_Count()
66: System.Array::Copy(System.Array,System.Int32,System.Array,System.Int32,System.Int32,System.Boolean)
67: System.Array::get_Length()
68: System.Array::GetLowerBound(System.Int32)
69: System.Collections.ICollection::CopyTo(System.Array,System.Int32)
70: System.Array::get_Length()
71: System.Collections.ICollection::get_Count()
72: System.Array::GetLength(System.Int32)
73: System.Array::InternalGetReference(System.Void*,System.Int32,System.Int32*)
74: System.Array::get_Rank()
75: System.Array::get_Rank()
76: System.Object::GetType()
77: Newtonsoft.Json.Serialization.SerializationCallback::Invoke(System.Object,System.Runtime.Serialization.StreamingContext)
78: Newtonsoft.Json.Serialization.SerializationCallback::Invoke(System.Object,System.Runtime.Serialization.StreamingContext)
79: System.Object::ToString()
80: System.ICustomFormatter::Format(System.String,System.Object,System.IFormatProvider)
81: System.Collections.Generic.IEqualityComparer`1::Equals(!0,!0)
82: System.Collections.Generic.IEqualityComparer`1::GetHashCode(!0)
83: System.Object::Equals(System.Object)
84: System.Object::GetType()
